rank,animal,number-left
1,Amur Leopard,40
2,Javan Rhinoceros,60
3,Panther,80
4,Red Wolf,100
5,California Condor,130
6,Sumatran Rhinoceros,300
7,Cross River Gorilla,300
8,Asiatic Lion,350
9,Northern Right Whale,350
10,Indochinese Tiger,500
11,Malayan Tiger,500
12,Sumatran Tiger,500
13,Grizzly Bear,500
14,Eastern Gorilla,700
15,Camels,950
16,Giant Panda,1000
17,South Asian River Dolphin,1000
18,North Pacific Right Whale,1000
19,Cape Mountain Zebra,1500
20,Bengal Tiger,2000
21,Indian Rhinoceros,2500
22,Grevy's Zebra,2000
23,Snow Leopard,4000
24,Gray Wolf,6600
25,Sumatran Orangutan,7000
26,Cheetah,7000
27,Blue Whale,10000
28,Polar Bears,20000
29,American Bison,30000
30,Bonobo,30000
31,Borneo Orangutan,40000
32,Tasmanian Devil,80000
33,Narwhal,80000
34,Beluga Whale,150000
35,Chimpanzee,150000
36,Sperm Whale,400000
37,Asian Elephant,470000
